projectName,partId,randomId,urlUsercode,dateTime,timeLanding,timePresort,timeSort,npos,nneu,nneg,sort,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41
Hållbar sjömat,12141,bd588a98-7b5,no data,16/4/2023 @ 13:08:38,00:00:04,00:00:35,00:01:13,4,23,15,2|4|7|8|9|8|6|3|10|3|3|8|4|7|2|8|0|9|3|5|5|4|6|5|1|6|0|1|5|10|5|4|7|6|9|7|4|6|2|2|5|1,2,4,7,8,9,8,6,3,10,3,3,8,4,7,2,8,0,9,3,5,5,4,6,5,1,6,0,1,5,10,5,4,7,6,9,7,4,6,2,2,5,1
Hållbar sjömat,demo,d26d9da4-18c,no data,16/4/2023 @ 14:11:10,00:00:09,00:01:05,00:01:45,0,42,0,0|5|6|1|6|4|8|3|5|3|2|10|4|3|4|4|2|6|6|5|8|8|7|9|7|2|5|6|2|5|4|9|1|10|5|1|9|8|3|0|7|7,0,5,6,1,6,4,8,3,5,3,2,10,4,3,4,4,2,6,6,5,8,8,7,9,7,2,5,6,2,5,4,9,1,10,5,1,9,8,3,0,7,7
Hållbar sjömat,demo,8321f24f-be1,no data,23/4/2023 @ 15:15:22,00:00:24,00:02:05,00:03:59,13,18,9,3|7|7|2|9|5|3|8|6|0|8|9|6|6|1|10|8|6|5|3|5|2|4|4|1|4|7|0|2|5|7|1|6|4|4|5|10|9|5|3,3,7,7,2,9,5,3,8,6,0,8,9,6,6,1,10,8,6,5,3,5,2,4,4,1,4,7,0,2,5,7,1,6,4,4,5,10,9,5,3,,
Hållbar sjömat,not required,9427af00-c68,no data,23/4/2023 @ 15:28:34,00:00:07,00:01:04,00:02:15,0,40,0,8|5|0|5|7|8|3|9|4|6|4|5|7|8|1|5|10|2|1|5|9|5|4|3|10|6|7|9|1|0|2|6|4|4|6|2|3|3|7|6,8,5,0,5,7,8,3,9,4,6,4,5,7,8,1,5,10,2,1,5,9,5,4,3,10,6,7,9,1,0,2,6,4,4,6,2,3,3,7,6,,
Hållbar sjömat,Abi,e6ee684d-da6,no data,23/4/2023 @ 15:49:09,00:00:41,00:00:36,00:01:36,0,40,0,5|7|5|1|3|4|9|4|4|1|2|6|2|0|5|7|3|2|10|7|5|0|5|3|6|8|9|6|1|8|3|5|7|4|6|4|9|6|10|8,5,7,5,1,3,4,9,4,4,1,2,6,2,0,5,7,3,2,10,7,5,0,5,3,6,8,9,6,1,8,3,5,7,4,6,4,9,6,10,8,,
Hållbar sjömat,5,593f8d07-804,no data,17/5/2023 @ 9:07:19,00:00:13,00:10:23,00:39:57,11,17,12,3|2|7|6|3|2|7|4|3|5|5|1|0|4|5|2|10|9|4|4|1|5|9|0|4|1|10|5|6|5|7|9|6|3|6|8|8|6|7|8,3,2,7,6,3,2,7,4,3,5,5,1,0,4,5,2,10,9,4,4,1,5,9,0,4,1,10,5,6,5,7,9,6,3,6,8,8,6,7,8,,
Hållbar sjömat,6,dc65853c-e55,no data,17/5/2023 @ 10:37:36,00:00:15,00:09:12,00:44:31,15,15,10,3|3|5|8|4|0|9|0|1|7|2|2|4|10|3|9|4|4|6|7|6|2|7|1|5|6|5|7|5|6|3|5|4|6|9|5|8|8|10|1,3,3,5,8,4,0,9,0,1,7,2,2,4,10,3,9,4,4,6,7,6,2,7,1,5,6,5,7,5,6,3,5,4,6,9,5,8,8,10,1,,
Hållbar sjömat,8,c1b680b9-fce,no data,23/5/2023 @ 9:11:29,00:03:57,00:06:00,00:43:59,16,13,11,4|9|7|10|4|1|10|2|0|6|6|9|5|7|4|4|3|9|7|6|8|0|3|2|7|6|5|3|8|4|2|1|3|5|8|5|5|6|5|1,4,9,7,10,4,1,10,2,0,6,6,9,5,7,4,4,3,9,7,6,8,0,3,2,7,6,5,3,8,4,2,1,3,5,8,5,5,6,5,1,,
Hållbar sjömat,9,ac587fcd-476,no data,23/5/2023 @ 14:07:57,00:00:07,00:07:05,00:34:52,17,14,9,5|5|3|9|6|6|3|1|4|2|7|4|7|9|0|3|4|10|5|8|5|6|8|2|1|4|5|3|6|6|2|0|1|7|5|10|8|9|7|4,5,5,3,9,6,6,3,1,4,2,7,4,7,9,0,3,4,10,5,8,5,6,8,2,1,4,5,3,6,6,2,0,1,7,5,10,8,9,7,4,,
Hållbar sjömat,12,ffe4c833-0c3,no data,31/5/2023 @ 9:17:53,00:00:33,00:19:16,00:40:01,14,10,16,3|2|1|9|5|2|6|1|3|7|6|0|4|5|5|3|5|9|8|4|0|10|4|5|4|6|4|3|10|6|2|1|7|5|8|8|7|6|7|9,3,2,1,9,5,2,6,1,3,7,6,0,4,5,5,3,5,9,8,4,0,10,4,5,4,6,4,3,10,6,2,1,7,5,8,8,7,6,7,9,,
Hållbar sjömat,15,a257f4c6-28a,no data,9/6/2023 @ 10:08:58,00:00:39,00:08:15,00:41:50,15,10,15,5|3|6|9|6|5|5|3|1|7|8|3|7|10|4|6|2|4|4|4|8|0|1|5|5|9|3|8|9|1|2|4|2|6|7|6|5|7|10|0,5,3,6,9,6,5,5,3,1,7,8,3,7,10,4,6,2,4,4,4,8,0,1,5,5,9,3,8,9,1,2,4,2,6,7,6,5,7,10,0,,
Hållbar sjömat,17,bbd22fb3-c78,no data,14/6/2023 @ 12:44:39,00:00:05,00:04:16,00:11:27,22,3,15,9|4|4|9|6|5|9|7|0|7|6|10|5|8|7|5|2|3|5|3|4|1|6|3|8|6|3|8|10|4|1|2|0|5|5|7|2|6|4|1,9,4,4,9,6,5,9,7,0,7,6,10,5,8,7,5,2,3,5,3,4,1,6,3,8,6,3,8,10,4,1,2,0,5,5,7,2,6,4,1,,
Hållbar sjömat,21,702474d5-aaf,no data,21/6/2023 @ 9:14:35,00:00:48,00:17:54,00:23:30,14,19,7,10|2|5|4|3|3|7|4|3|8|6|0|6|9|0|5|1|8|5|9|4|4|10|1|7|1|2|6|9|2|3|5|4|7|6|6|7|5|8|5,10,2,5,4,3,3,7,4,3,8,6,0,6,9,0,5,1,8,5,9,4,4,10,1,7,1,2,6,9,2,3,5,4,7,6,6,7,5,8,5,,
Hållbar sjömat,22,3f0e7f7e-e41,no data,21/6/2023 @ 10:44:28,00:00:14,00:07:37,00:41:39,14,17,9,6|5|7|6|0|1|7|0|7|4|10|6|4|9|1|5|5|5|2|6|6|3|9|2|3|1|3|8|2|4|4|4|3|5|9|8|8|7|10|5,6,5,7,6,0,1,7,0,7,4,10,6,4,9,1,5,5,5,2,6,6,3,9,2,3,1,3,8,2,4,4,4,3,5,9,8,8,7,10,5,,
Hållbar sjömat,23,372a6ec6-e34,no data,25/6/2023 @ 12:47:03,00:00:20,00:06:45,00:25:04,13,9,18,5|8|5|7|4|6|7|6|0|10|2|9|7|8|9|4|4|2|5|2|5|1|3|5|6|7|3|8|10|6|1|3|0|4|9|5|3|6|4|1,5,8,5,7,4,6,7,6,0,10,2,9,7,8,9,4,4,2,5,2,5,1,3,5,6,7,3,8,10,6,1,3,0,4,9,5,3,6,4,1,,
Hållbar sjömat,24,59e51099-6eb,no data,28/6/2023 @ 9:15:55,00:00:16,00:07:23,00:34:41,22,10,8,2|0|10|0|5|5|8|10|3|7|5|4|3|8|7|4|1|6|6|6|4|1|7|2|3|9|6|9|8|3|2|5|7|4|9|6|1|4|5|5,2,0,10,0,5,5,8,10,3,7,5,4,3,8,7,4,1,6,6,6,4,1,7,2,3,9,6,9,8,3,2,5,7,4,9,6,1,4,5,5,,
Hållbar sjömat,25,37082411-d1d,no data,28/6/2023 @ 10:44:21,00:00:18,00:12:57,00:37:57,19,13,8,2|8|1|9|6|5|6|1|5|5|1|4|5|8|6|7|4|7|3|6|2|4|10|0|7|4|5|8|2|3|3|4|5|7|0|9|9|6|10|3,2,8,1,9,6,5,6,1,5,5,1,4,5,8,6,7,4,7,3,6,2,4,10,0,7,4,5,8,2,3,3,4,5,7,0,9,9,6,10,3,,
Hållbar sjömat,77,bbc2a930-2bb,no data,14/7/2023 @ 10:08:58,00:00:27,00:09:28,00:37:28,15,14,11,6|5|3|8|6|5|6|7|1|9|5|10|1|7|4|2|3|4|6|5|6|2|3|7|8|10|1|7|9|5|3|0|2|4|8|4|5|9|4|0,6,5,3,8,6,5,6,7,1,9,5,10,1,7,4,2,3,4,6,5,6,2,3,7,8,10,1,7,9,5,3,0,2,4,8,4,5,9,4,0,,
Hållbar sjömat,28,a3e489b9-691,no data,21/8/2023 @ 14:08:24,00:00:17,00:06:17,00:37:42,17,13,10,1|8|4|5|9|3|6|2|1|5|5|1|3|9|7|0|4|8|5|10|2|4|10|0|3|2|4|6|7|7|5|6|7|6|4|8|6|3|9|5,1,8,4,5,9,3,6,2,1,5,5,1,3,9,7,0,4,8,5,10,2,4,10,0,3,2,4,6,7,7,5,6,7,6,4,8,6,3,9,5,,
